id;fecha_inicio;fecha_final;nombre;precio
1;2019-10-13T14:21:38;2019-10-14T01:39:10;uniform PCI back up;95307
2;2019-10-13T14:39:07;2019-10-14T04:59:36;Venezuela Wisconsin;98033
3;2019-10-13T16:27:34;2019-10-14T11:07:23;functionalities;19091
4;2019-10-13T16:30:15;2019-10-14T06:29:17;Bedfordshire;37268
5;2019-10-13T23:34:06;2019-10-14T03:27:32;calculating Intranet Ergonomic Concrete Soap;67114
6;2019-10-13T13:10:13;2019-10-14T04:19:26;Open-architected;29529
7;2019-10-13T15:52:29;2019-10-14T05:11:25;calculating Metal array;55281
8;2019-10-14T05:53:07;2019-10-14T05:48:55;schemas Synergistic Personal Loan Account;8159
9;2019-10-14T00:39:33;2019-10-14T12:48:25;Auto Loan Account olive;7094
10;2019-10-13T20:05:04;2019-10-14T03:24:31;Unbranded Fresh Pants Tools California;43847
