id;num_pedido;fecha_pedido;precio;observaciones_precio
1;4522;2019-10-13T13:51:48;32533;scale interactive generating
2;35675;2019-10-13T13:45:55;28093;Faroe Islands Plastic
3;80219;2019-10-14T08:57:53;7455;Administrator
4;77224;2019-10-14T03:27:15;19871;Books
5;81546;2019-10-14T08:09:33;70685;application quantify Unbranded Plastic Tuna
6;11586;2019-10-13T14:58:21;86310;Investment Account archive Fantastic Plastic Chicken
7;32518;2019-10-13T20:56:57;72960;withdrawal COM
8;47221;2019-10-14T03:44:28;11959;bus synthesize Idaho
9;77096;2019-10-14T06:47:08;49379;Poland
10;42754;2019-10-14T10:16:11;2541;Intelligent Outdoors
