id;preparado;hora_inicio;hora_finalizacion
1;true;2019-10-13T20:48:10;2019-10-14T12:04:07
2;false;2019-10-14T01:45:26;2019-10-14T09:12:37
3;true;2019-10-13T13:22:03;2019-10-14T06:03:16
4;true;2019-10-13T22:45:05;2019-10-13T16:16:55
5;false;2019-10-14T06:55:31;2019-10-14T12:02:06
6;false;2019-10-13T17:11:21;2019-10-14T05:39:11
7;false;2019-10-14T00:02:29;2019-10-14T09:52:55
8;false;2019-10-14T00:23:52;2019-10-13T17:03:46
9;true;2019-10-14T06:24:52;2019-10-14T07:45:06
10;true;2019-10-13T21:58:56;2019-10-14T01:57:26
